id,likBB_median,age
14,56.04779739,24
21,138.279706,24
23,126.0160169,24
18,138.404114,24
27,120.5217197,24
10,121.1790001,24
4,138.5533027,24
22,85.28507982,24
29,138.2810809,24
2,115.0396534,24
7,128.8427566,24
15,132.1586512,24
9,110.0379054,24
26,135.1578284,24
5,86.43164967,24
11,55.11963891,24
25,121.8610546,24
16,129.1512157,24
20,118.2929841,24
24,132.9314398,24
12,109.9218322,24
13,79.40961524,24
6,69.9112045,24
8,75.51173223,24
19,88.01672425,24
3,118.4800779,24
28,95.32612527,24
17,112.9813051,24
1,126.7363174,24
132,138.7020897,70
129,137.8017995,70
103,138.6735094,70
117,138.6903196,70
112,138.066615,70
121,100.1726653,70
127,125.6962832,70
114,138.36522,70
106,92.53568742,70
131,109.8239281,70
120,130.3889378,70
126,82.76820719,70
108,136.7254634,70
109,102.6766125,70
110,128.2360686,70
119,137.2645338,70
123,134.4349563,70
104,114.9614934,70
105,109.9346284,70
101,107.5602807,70
124,112.689628,70
102,133.225638,70
107,131.9954165,70
111,127.8430674,70
128,138.5630513,70
118,135.9357627,70
115,92.67702168,70
113,137.2705071,70
122,138.3092814,70
125,136.9017143,70
116,137.0237169,70
130,126.684607,70
